1,"496903,82","4046947,61"
2,"497031,72","4047001,42"
3,"497103,46","4047053,66"
5,"497188,39","4047051,71"
6,"497334,05","4047046,13"
7,"497287,74","4046926,82"
8,"497242,97","4046952,85"
9,"497219,67","4046939,81"
12,"497064,92","4046820,22"
13,"497009,72","4046803,67"
