1,2,"138,83192",,,,,"3,39964"
1,12,"205,48192",,,,,"3,03219"
1,13,"178,78795",,,,,"3,17369"
2,12,"184,31157",,,,,"2,93823"
2,13,"199,07119",,,,,"2,94626"
2,3,"88,7872",,,,,"2,91389"
2,9,"197,8868",,,,,"3,39964"
3,5,"85,00083",,,,,"3,7193"
3,8,"172,21031",,,,,"3,70256"
3,9,"162,76859",,,,,"3,64915"
3,12,"236,72363",,,,,"3,44096"
5,6,"145,84375",,,,,"3,57493"
5,7,"159,66111",,,,,"3,27839"
5,8,"112,98099",,,,,"3,49935"
5,9,"116,24895",,,,,"3,07227"
6,7,"128,04855",,,,,"3,97278"
6,8,"130,44222",,,,,"3,4248"
7,8,"51,80975",,,,,"3,20821"
8,9,"26,72021",,,,,"3,26142"
9,12,"195,67734",,,,,"2,88315"
12,13,"57,65286",,,,,"3,89927"
