    1,0000
    2,0000
    0,9569
    1,0000
   12,0000
    0,9175
    1,0000
   13,0000
    0,9344
    2,0000
   12,0000
    0,9362
    2,0000
   13,0000
    0,9251
    2,0000
    3,0000
    0,9833
    2,0000
    9,0000
    0,9153
    3,0000
    5,0000
    0,9814
    3,0000
    8,0000
    0,9292
    3,0000
    9,0000
    0,9381
    3,0000
   12,0000
    0,8768
    5,0000
    6,0000
    0,9488
    5,0000
    7,0000
    0,9440
    5,0000
    8,0000
    0,9707
    5,0000
    9,0000
    0,9730
    6,0000
    7,0000
    0,9560
    6,0000
    8,0000
    0,9604
    7,0000
    8,0000
    0,9928
    8,0000
    9,0000
    0,9977
    9,0000
   12,0000
    0,9281
   12,0000
   13,0000
    0,9871

    1,0000
    2,0000
    0,9569
    1,0000
   12,0000
    0,9175
    1,0000
   13,0000
    0,9344
    2,0000
   12,0000
    0,9362
    2,0000
   13,0000
    0,9251
    2,0000
    3,0000
    0,9833
    2,0000
    9,0000
    0,9153
    3,0000
    5,0000
    0,9814
    3,0000
    8,0000
    0,9292
    3,0000
    9,0000
    0,9381
    3,0000
   12,0000
    0,8768
    5,0000
    6,0000
    0,9488
    5,0000
    7,0000
    0,9440
    5,0000
    8,0000
    0,9707
    5,0000
    9,0000
    0,9730
    6,0000
    7,0000
    0,9560
    6,0000
    8,0000
    0,9604
    7,0000
    8,0000
    0,9928
    8,0000
    9,0000
    0,9977
    9,0000
   12,0000
    0,9281
   12,0000
   13,0000
    0,9871

    1,0000
    2,0000
    0,9569
    1,0000
   12,0000
    0,9175
    1,0000
   13,0000
    0,9344
    2,0000
   12,0000
    0,9362
    2,0000
   13,0000
    0,9251
    2,0000
    3,0000
    0,9833
    2,0000
    9,0000
    0,9153
    3,0000
    5,0000
    0,9814
    3,0000
    8,0000
    0,9292
    3,0000
    9,0000
    0,9381
    3,0000
   12,0000
    0,8768
    5,0000
    6,0000
    0,9488
    5,0000
    7,0000
    0,9440
    5,0000
    8,0000
    0,9707
    5,0000
    9,0000
    0,9730
    6,0000
    7,0000
    0,9560
    6,0000
    8,0000
    0,9604
    7,0000
    8,0000
    0,9928
    8,0000
    9,0000
    0,9977
    9,0000
   12,0000
    0,9281
   12,0000
   13,0000
    0,9871

